channel_name,day,channel_id
Alinthuta21784,2022-02-02,10
Alinthuta21784,2022-02-05,31
Alinthuta21784,2022-02-06,2
Alinthuta21784,2022-02-08,1
Alinthuta21784,2022-02-12,19
Alinthuta21784,2022-02-16,1
Alinthuta21784,2022-07-18,7
Alinthuta21784,2022-07-20,17
Alinthuta21784,2022-07-22,37
Alinthuta21784,2022-07-24,35
Alinthuta21784,2022-07-26,13
Alinthuta21784,2022-07-27,1
Alinthuta21784,2022-07-28,22
Alinthuta21784,2022-07-30,16
Alinthuta21784,2022-08-01,24
Alinthuta21784,2022-08-03,36
Alinthuta21784,2022-08-04,11
Alinthuta21784,2022-08-05,23
Alinthuta21784,2022-08-06,6
Alinthuta21784,2022-08-07,22
Alinthuta21784,2022-08-09,39
Alinthuta21784,2022-08-11,44
Alinthuta21784,2022-08-12,9
Alinthuta21784,2022-08-13,26
Alinthuta21784,2022-08-15,30
Alinthuta21784,2022-08-17,52
Alinthuta21784,2022-08-19,35
Alinthuta21784,2022-08-21,27
Alinthuta21784,2022-08-23,39
Alinthuta21784,2022-08-24,25
Alinthuta21784,2022-08-25,40
Alinthuta21784,2022-08-26,15
Alinthuta21784,2022-08-27,43
Alinthuta21784,2022-08-29,44
Alinthuta21784,2022-08-30,14
Alinthuta21784,2022-08-31,37
Alinthuta21784,2022-09-01,13
Alinthuta21784,2022-09-02,51
Alinthuta21784,2022-09-03,12
Alinthuta21784,2022-09-04,29
Alinthuta21784,2022-09-05,11
Alinthuta21784,2022-09-06,35
Alinthuta21784,2022-09-07,4
Alinthuta21784,2022-09-08,25
Alinthuta21784,2022-09-09,17
Alinthuta21784,2022-09-10,26
Alinthuta21784,2022-09-11,26
Alinthuta21784,2022-09-12,51
Alinthuta21784,2022-09-13,5
Alinthuta21784,2022-09-14,33
Alinthuta21784,2022-09-16,19
Alinthuta21784,2022-09-18,31
Alinthuta21784,2022-09-20,18
Alinthuta21784,2022-09-21,4
Alinthuta21784,2022-09-22,62
Alinthuta21784,2022-09-23,5
Alinthuta21784,2022-09-24,62
Alinthuta21784,2022-09-25,12
Alinthuta21784,2022-09-26,41
Alinthuta21784,2022-09-27,21
Alinthuta21784,2022-09-28,53
Alinthuta21784,2022-09-29,9
Alinthuta21784,2022-09-30,31
Alinthuta21784,2022-10-02,42
Alinthuta21784,2022-10-03,17
Alinthuta21784,2022-10-04,23
Alinthuta21784,2022-10-05,18
Alinthuta21784,2022-10-06,41
Alinthuta21784,2022-10-07,9
Alinthuta21784,2022-10-08,61
Alinthuta21784,2022-10-10,71
Alinthuta21784,2022-10-12,66
Alinthuta21784,2022-10-14,43
Alinthuta21784,2022-10-16,40
Alinthuta21784,2022-10-18,44
Alinthuta21784,2022-10-20,44
Alinthuta21784,2022-10-22,68
Alinthuta21784,2022-10-24,81
Alinthuta21784,2022-10-26,22
Alinthuta21784,2022-10-27,7
Alinthuta21784,2022-10-28,25
Alinthuta21784,2022-10-30,31
Alinthuta21784,2022-10-31,7
Alinthuta21784,2022-11-01,24
Alinthuta21784,2022-11-02,14
Alinthuta21784,2022-11-03,54
Alinthuta21784,2022-11-04,10
Alinthuta21784,2022-11-05,61
Alinthuta21784,2022-11-07,70
Alinthuta21784,2022-11-08,15
Alinthuta21784,2022-11-09,39
Alinthuta21784,2022-11-12,1
Alinthuta21784,2022-11-13,35
Alinthuta21784,2022-11-15,32
Alinthuta21784,2022-11-16,15
Alinthuta21784,2022-11-17,23
Alinthuta21784,2022-11-18,1
Alinthuta21784,2022-11-19,35
Alinthuta21784,2022-11-25,5
Alinthuta21784,2022-11-26,3
Alinthuta21784,2022-11-27,6
Alinthuta21784,2022-11-29,58
Alinthuta21784,2022-12-01,42
Alinthuta21784,2022-12-03,42
Alinthuta21784,2022-12-05,22
Alinthuta21784,2022-12-12,21
Alinthuta21784,2022-12-21,4
Alinthuta21784,2022-12-26,4
Alinthuta21784,2022-12-27,22
Alinthuta21784,2022-12-29,20
Alinthuta21784,2022-12-30,30
Alinthuta21784,2023-01-02,22
Alinthuta21784,2023-01-03,1
Alinthuta21784,2023-01-05,36
Alinthuta21784,2023-01-08,33
Alinthuta21784,2023-01-10,5
Alinthuta21784,2023-01-12,33
Alinthuta21784,2023-01-14,6
Alinthuta21784,2023-01-16,13
Alinthuta21784,2023-01-18,5
