channel_name,day,channel_id,views
Alinthuta21784,2022-02-02,10,488
Alinthuta21784,2022-02-05,31,3390
Alinthuta21784,2022-02-06,2,206
Alinthuta21784,2022-02-08,1,116
Alinthuta21784,2022-02-12,19,2725
Alinthuta21784,2022-02-16,1,334
Alinthuta21784,2022-07-18,7,1445
Alinthuta21784,2022-07-20,17,6143
Alinthuta21784,2022-07-22,37,12400
Alinthuta21784,2022-07-24,35,34788
Alinthuta21784,2022-07-26,13,12036
Alinthuta21784,2022-07-27,1,265
Alinthuta21784,2022-07-28,22,5219
Alinthuta21784,2022-07-30,16,17844
Alinthuta21784,2022-08-01,24,9296
Alinthuta21784,2022-08-03,36,16123
Alinthuta21784,2022-08-04,11,2123
Alinthuta21784,2022-08-05,23,5792
Alinthuta21784,2022-08-06,6,1703
Alinthuta21784,2022-08-07,22,6969
Alinthuta21784,2022-08-09,39,41597
Alinthuta21784,2022-08-11,44,71462
Alinthuta21784,2022-08-12,9,9084
Alinthuta21784,2022-08-13,26,18487
Alinthuta21784,2022-08-15,30,43538
Alinthuta21784,2022-08-17,52,72564
Alinthuta21784,2022-08-19,35,27958
Alinthuta21784,2022-08-21,27,22755
Alinthuta21784,2022-08-23,39,40994
Alinthuta21784,2022-08-24,25,19054
Alinthuta21784,2022-08-25,40,67405
Alinthuta21784,2022-08-26,15,14260
Alinthuta21784,2022-08-27,43,203136
Alinthuta21784,2022-08-29,44,50739
Alinthuta21784,2022-08-30,14,13928
Alinthuta21784,2022-08-31,37,46215
Alinthuta21784,2022-09-01,13,14192
Alinthuta21784,2022-09-02,51,88296
Alinthuta21784,2022-09-03,12,14392
Alinthuta21784,2022-09-04,29,43029
Alinthuta21784,2022-09-05,11,12623
Alinthuta21784,2022-09-06,35,61957
Alinthuta21784,2022-09-07,4,5590
Alinthuta21784,2022-09-08,25,84357
Alinthuta21784,2022-09-09,17,17077
Alinthuta21784,2022-09-10,26,30070
Alinthuta21784,2022-09-11,26,24712
Alinthuta21784,2022-09-12,51,57109
Alinthuta21784,2022-09-13,5,6347
Alinthuta21784,2022-09-14,33,72144
Alinthuta21784,2022-09-16,19,25008
Alinthuta21784,2022-09-18,31,52197
Alinthuta21784,2022-09-20,18,62973
